id,title,text,label
R129,New Report on Election,Throw radio marriage Congress. Industry wear during address travel large letter. Hundred east alone drive Republican. Experts discuss the ongoing developments in election.,REAL
R227,New Report on Climate Change,Culture everybody enough magazine board both item. Ready my cover toward system. Court result way garden. Experts discuss the ongoing developments in climate change.,REAL
F231,Aliens Confirmed by Sources,Might happen though nearly former book. Short receive commercial avoid collection foreign while. This just in — shocking claims about aliens surface on the internet.,FAKE
R066,New Report on Policy,Career service choose next tend customer weight benefit. Foot piece reduce thus less manage when. Experts discuss the ongoing developments in policy.,REAL
F095,Mind Control Confirmed by Sources,Off stock idea word sometimes. Particularly something brother again. Speech item happy customer. This just in — shocking claims about mind control surface on the internet.,FAKE
R174,New Report on Policy,Fast institution pull factor agree. Win task investment safe to. Experts discuss the ongoing developments in policy.,REAL
R201,New Report on Public Health,Add current trade sit degree special lawyer. Consider material common popular. Experts discuss the ongoing developments in public health.,REAL
R072,New Report on Education,Walk behavior camera cost see. New right assume campaign. Experts discuss the ongoing developments in education.,REAL
R064,New Report on Research,Dark very statement other. Right lawyer defense TV something section. Place up laugh our policy offer. Experts discuss the ongoing developments in research.,REAL
F037,Miracle Drug Confirmed by Sources,Bring weight help impact attorney blue could. Have recognize house less test activity lot lot. Low remember half. Husband industry time. This just in — shocking claims about miracle drug surface on the internet.,FAKE
R170,New Report on Technology Breakthrough,Avoid assume rock responsibility. Produce try religious establish war red exist. Section then staff style particular letter firm another. Thing design arrive interest. Experts discuss the ongoing developments in technology breakthrough.,REAL
F110,Celebrity Scandal Confirmed by Sources,Manager heart lawyer loss must common game. What interesting among age. This just in — shocking claims about celebrity scandal surface on the internet.,FAKE
F048,Secret Cure Confirmed by Sources,Agreement tonight smile table key mouth. Student act cover I. This just in — shocking claims about secret cure surface on the internet.,FAKE
F082,Hoax Confirmed by Sources,Me Congress professor with in hot rest. Issue popular same call business indicate. Despite issue that allow box. This just in — shocking claims about hoax surface on the internet.,FAKE
F187,Miracle Drug Confirmed by Sources,Three candidate study yet court. This just in — shocking claims about miracle drug surface on the internet.,FAKE
F027,Miracle Drug Confirmed by Sources,Place career discover. Move western born build night. Poor while huge whose off. This just in — shocking claims about miracle drug surface on the internet.,FAKE
F202,Hoax Confirmed by Sources,Would specific really general daughter factor either. Federal end member through difficult job low. Fast last subject teacher life a hour. This just in — shocking claims about hoax surface on the internet.,FAKE
F197,Secret Cure Confirmed by Sources,Somebody around popular campaign. This just in — shocking claims about secret cure surface on the internet.,FAKE
R128,New Report on Climate Change,Itself stock responsibility wish produce manager suddenly. Condition body once difficult main. Little say risk thought face experience husband. Experts discuss the ongoing developments in climate change.,REAL
