id,title,filtered_words,label
R129,New Report on Election,"['throw', 'radio', 'marriage', 'congress.', 'industry', 'wear', 'address', 'travel', 'large', 'letter.', 'hundred', 'east', 'alone', 'drive', 'republican.', 'experts', 'discuss', 'ongoing', 'developments', 'election.']",REAL
R227,New Report on Climate Change,"['culture', 'everybody', 'enough', 'magazine', 'board', 'item.', 'ready', 'cover', 'toward', 'system.', 'court', 'result', 'way', 'garden.', 'experts', 'discuss', 'ongoing', 'developments', 'climate', 'change.']",REAL
F231,Aliens Confirmed by Sources,"['might', 'happen', 'though', 'nearly', 'former', 'book.', 'short', 'receive', 'commercial', 'avoid', 'collection', 'foreign', 'while.', '—', 'shocking', 'claims', 'aliens', 'surface', 'internet.']",FAKE
R066,New Report on Policy,"['career', 'service', 'choose', 'next', 'tend', 'customer', 'weight', 'benefit.', 'foot', 'piece', 'reduce', 'thus', 'less', 'manage', 'when.', 'experts', 'discuss', 'ongoing', 'developments', 'policy.']",REAL
F095,Mind Control Confirmed by Sources,"['stock', 'idea', 'word', 'sometimes.', 'particularly', 'something', 'brother', 'again.', 'speech', 'item', 'happy', 'customer.', '—', 'shocking', 'claims', 'mind', 'control', 'surface', 'internet.']",FAKE
R174,New Report on Policy,"['fast', 'institution', 'pull', 'factor', 'agree.', 'win', 'task', 'investment', 'safe', 'to.', 'experts', 'discuss', 'ongoing', 'developments', 'policy.']",REAL
R201,New Report on Public Health,"['add', 'current', 'trade', 'sit', 'degree', 'special', 'lawyer.', 'consider', 'material', 'common', 'popular.', 'experts', 'discuss', 'ongoing', 'developments', 'public', 'health.']",REAL
R072,New Report on Education,"['walk', 'behavior', 'camera', 'cost', 'see.', 'new', 'right', 'assume', 'campaign.', 'experts', 'discuss', 'ongoing', 'developments', 'education.']",REAL
R064,New Report on Research,"['dark', 'statement', 'other.', 'right', 'lawyer', 'defense', 'tv', 'something', 'section.', 'place', 'laugh', 'policy', 'offer.', 'experts', 'discuss', 'ongoing', 'developments', 'research.']",REAL
F037,Miracle Drug Confirmed by Sources,"['bring', 'weight', 'help', 'impact', 'attorney', 'blue', 'could.', 'recognize', 'house', 'less', 'test', 'activity', 'lot', 'lot.', 'low', 'remember', 'half.', 'husband', 'industry', 'time.', '—', 'shocking', 'claims', 'miracle', 'drug', 'surface', 'internet.']",FAKE
R170,New Report on Technology Breakthrough,"['avoid', 'assume', 'rock', 'responsibility.', 'produce', 'try', 'religious', 'establish', 'war', 'red', 'exist.', 'section', 'staff', 'style', 'particular', 'letter', 'firm', 'another.', 'thing', 'design', 'arrive', 'interest.', 'experts', 'discuss', 'ongoing', 'developments', 'technology', 'breakthrough.']",REAL
F110,Celebrity Scandal Confirmed by Sources,"['manager', 'heart', 'lawyer', 'loss', 'must', 'common', 'game.', 'interesting', 'among', 'age.', '—', 'shocking', 'claims', 'celebrity', 'scandal', 'surface', 'internet.']",FAKE
F048,Secret Cure Confirmed by Sources,"['agreement', 'tonight', 'smile', 'table', 'key', 'mouth.', 'student', 'act', 'cover', 'i.', '—', 'shocking', 'claims', 'secret', 'cure', 'surface', 'internet.']",FAKE
F082,Hoax Confirmed by Sources,"['congress', 'professor', 'hot', 'rest.', 'issue', 'popular', 'call', 'business', 'indicate.', 'despite', 'issue', 'allow', 'box.', '—', 'shocking', 'claims', 'hoax', 'surface', 'internet.']",FAKE
F187,Miracle Drug Confirmed by Sources,"['three', 'candidate', 'study', 'yet', 'court.', '—', 'shocking', 'claims', 'miracle', 'drug', 'surface', 'internet.']",FAKE
F027,Miracle Drug Confirmed by Sources,"['place', 'career', 'discover.', 'move', 'western', 'born', 'build', 'night.', 'poor', 'huge', 'whose', 'off.', '—', 'shocking', 'claims', 'miracle', 'drug', 'surface', 'internet.']",FAKE
F202,Hoax Confirmed by Sources,"['specific', 'really', 'general', 'daughter', 'factor', 'either.', 'federal', 'end', 'member', 'difficult', 'job', 'low.', 'fast', 'last', 'subject', 'teacher', 'life', 'hour.', '—', 'shocking', 'claims', 'hoax', 'surface', 'internet.']",FAKE
F197,Secret Cure Confirmed by Sources,"['somebody', 'around', 'popular', 'campaign.', '—', 'shocking', 'claims', 'secret', 'cure', 'surface', 'internet.']",FAKE
R128,New Report on Climate Change,"['stock', 'responsibility', 'wish', 'produce', 'manager', 'suddenly.', 'condition', 'body', 'difficult', 'main.', 'little', 'say', 'risk', 'thought', 'face', 'experience', 'husband.', 'experts', 'discuss', 'ongoing', 'developments', 'climate', 'change.']",REAL
F157,Government Cover-Up Confirmed by Sources,"['training', 'hit', 'knowledge', 'century.', 'move', 'month', 'mrs.', 'share', 'memory', 'deal.', '—', 'shocking', 'claims', 'government', 'cover-up', 'surface', 'internet.']",FAKE
F117,Hoax Confirmed by Sources,"['wait', 'yet', 'north', 'opportunity', 'discuss.', 'business', 'popular', 'support.', 'every', 'evidence', 'put', 'tonight', 'oil', 'type', 'its.', 'season', 'character', 'bank.', '—', 'shocking', 'claims', 'hoax', 'surface', 'internet.']",FAKE
F173,Secret Cure Confirmed by Sources,"['language', 'particularly', 'miss', 'employee', 'politics', 'week', 'already', 'house.', 'girl', 'great', 'left', 'capital.', '—', 'shocking', 'claims', 'secret', 'cure', 'surface', 'internet.']",FAKE
F024,Aliens Confirmed by Sources,"['exactly', 'across', 'lead', 'former', 'get', 'beyond.', 'director', 'blood', 'person', 'thank', 'money', 'grow', 'number', 'even.', 'ground', 'heavy', 'expert', 'cost', 'girl', 'process', 'recent.', 'blood', 'agent', 'speak', 'interview.', '—', 'shocking', 'claims', 'aliens', 'surface', 'internet.']",FAKE
F096,Celebrity Scandal Confirmed by Sources,"['clear', 'key', 'purpose.', 'series', 'necessary', 'study', 'task', 'type.', '—', 'shocking', 'claims', 'celebrity', 'scandal', 'surface', 'internet.']",FAKE
R247,New Report on Public Health,"['reality', 'list', 'camera', 'might', 'opportunity', 'state', 'notice', 'success.', 'hit', 'tv', 'husband', 'every', 'fast.', 'experts', 'discuss', 'ongoing', 'developments', 'public', 'health.']",REAL
F226,Government Cover-Up Confirmed by Sources,"['science', 'foot', 'question', 'for.', 'enough', 'energy', 'indeed', 'month', 'people', 'either.', 'effort', 'stock', 'culture.', '—', 'shocking', 'claims', 'government', 'cover-up', 'surface', 'internet.']",FAKE
F100,Flat Earth Confirmed by Sources,"['pay', 'see', 'relate', 'through.', 'car', 'guy', 'concern', 'ten', 'ability', 'focus', 'avoid.', '—', 'shocking', 'claims', 'flat', 'earth', 'surface', 'internet.']",FAKE
F246,Government Cover-Up Confirmed by Sources,"['well', 'appear', 'cut', 'join', 'happy', 'key.', 'north', 'training', 'nor.', 'popular', 'team', 'need', 'through.', '—', 'shocking', 'claims', 'government', 'cover-up', 'surface', 'internet.']",FAKE
F183,Aliens Confirmed by Sources,"['style', 'body', 'structure', 'eight', 'religious.', 'success', 'follow', 'radio', 'while.', '—', 'shocking', 'claims', 'aliens', 'surface', 'internet.']",FAKE
R063,New Report on Policy,"['use', 'cause', 'can.', 'project', 'big', 'treat', 'bag.', 'dinner', 'face', 'foreign', 'community', 'cultural', 'happy', 'big.', 'experts', 'discuss', 'ongoing', 'developments', 'policy.']",REAL
R005,New Report on Election,"['true', 'professor', 'manager', 'hour.', 'trip', 'guess', 'join', 'one.', 'experts', 'discuss', 'ongoing', 'developments', 'election.']",REAL
R084,New Report on Election,"['season', 'dream', 'risk', 'point', 'arrive.', 'agency', 'government', 'natural', 'teach.', 'audience', 'best', 'book', 'long', 'full.', 'tough', 'worker', 'difference', 'note.', 'experts', 'discuss', 'ongoing', 'developments', 'election.']",REAL
R124,New Report on Education,"['economic', 'lose', 'increase', 'quickly', 'half', 'increase', 'compare', 'product.', 'treat', 'newspaper', 'find', 'various', 'statement', 'nation', 'kid.', 'experts', 'discuss', 'ongoing', 'developments', 'education.']",REAL
R118,New Report on Research,"['investment', 'prevent', 'southern', 'local', 'significant', 'floor', 'finally.', 'air', 'maintain', 'continue', 'recent', 'account', 'leg', 'sense', 'community.', 'experts', 'discuss', 'ongoing', 'developments', 'research.']",REAL
F001,Aliens Confirmed by Sources,"['sell', 'street', 'school', 'young.', 'maybe', 'standard', 'human.', 'role', 'owner', 'fight.', '—', 'shocking', 'claims', 'aliens', 'surface', 'internet.']",FAKE
