id,filtered_words_array,features,label_index
R129,"['throw', 'radio', 'marriage', 'congress.', 'industry', 'wear', 'address', 'travel', 'large', 'letter.', 'hundred', 'east', 'alone', 'drive', 'republican.', 'experts', 'discuss', 'ongoing', 'developments', 'election.']","(10000,[2492,2513,3010,3556,3614,4300,4454,4506,4687,5175,5966,6229,6325,6576,6581,7022,8325,8681,9086,9462],[4.607168188650764,5.117993812416755,4.270695952029551,2.8844015909096608,0.6832166123573445,5.523458920524919,3.8187108282864943,0.691153161953081,0.6871770135734415,4.42484663185681,4.830311739964974,4.42484663185681,3.914021008090819,4.42484663185681,4.137164559405029,4.019381523748645,4.42484663185681,4.830311739964974,4.019381523748645,0.691153161953081])",1.0
R227,"['culture', 'everybody', 'enough', 'magazine', 'board', 'item.', 'ready', 'cover', 'toward', 'system.', 'court', 'result', 'way', 'garden.', 'experts', 'discuss', 'ongoing', 'developments', 'climate', 'change.']","(10000,[399,821,2059,2561,3194,3614,4506,4568,4687,4748,6104,6358,6557,7299,7432,7454,8413,8645,9391,9462],[4.42484663185681,2.849310271098391,2.60568818844064,4.137164559405029,5.523458920524919,0.6832166123573445,0.691153161953081,4.270695952029551,0.6871770135734415,4.137164559405029,4.019381523748645,5.117993812416755,4.137164559405029,4.830311739964974,4.830311739964974,4.019381523748645,3.4440173788450834,4.270695952029551,4.830311739964974,0.691153161953081])",1.0
F231,"['might', 'happen', 'though', 'nearly', 'former', 'book.', 'short', 'receive', 'commercial', 'avoid', 'collection', 'foreign', 'while.', '—', 'shocking', 'claims', 'aliens', 'surface', 'internet.']","(10000,[503,650,1262,1388,2866,3226,3385,3924,4160,4617,4704,5850,6206,6443,7281,7936,8209,8338,8391],[0.691153161953081,2.958509563063383,3.8187108282864943,4.137164559405029,5.117993812416755,5.117993812416755,4.019381523748645,4.270695952029551,3.914021008090819,4.137164559405029,4.137164559405029,0.691153161953081,4.019381523748645,3.6516567436233283,0.6871770135734415,0.691153161953081,4.42484663185681,0.691153161953081,4.42484663185681])",0.0
R066,"['career', 'service', 'choose', 'next', 'tend', 'customer', 'weight', 'benefit.', 'foot', 'piece', 'reduce', 'thus', 'less', 'manage', 'when.', 'experts', 'discuss', 'ongoing', 'developments', 'policy.']","(10000,[1195,1413,1810,1840,2252,3133,3614,4506,4687,4930,5684,6422,6944,7883,7890,8004,8159,8273,9462,9706],[4.270695952029551,4.42484663185681,4.137164559405029,4.830311739964974,4.270695952029551,4.137164559405029,0.6832166123573445,0.691153161953081,0.6871770135734415,3.5085558999826545,4.137164559405029,5.523458920524919,2.849310271098391,3.914021008090819,3.7316994512968646,4.42484663185681,3.577548771469606,4.137164559405029,0.691153161953081,4.607168188650764])",1.0
F095,"['stock', 'idea', 'word', 'sometimes.', 'particularly', 'something', 'brother', 'again.', 'speech', 'item', 'happy', 'customer.', '—', 'shocking', 'claims', 'mind', 'control', 'surface', 'internet.']","(10000,[291,502,503,793,1144,1208,1898,1916,3184,3519,5347,5850,5958,6443,6714,7281,7936,8338,9826],[4.607168188650764,5.117993812416755,0.691153161953081,3.7316994512968646,5.117993812416755,2.8844015909096608,4.830311739964974,4.019381523748645,2.849310271098391,4.137164559405029,4.137164559405029,0.691153161953081,4.607168188650764,3.6516567436233283,4.830311739964974,0.6871770135734415,0.691153161953081,0.691153161953081,3.577548771469606])",0.0
R174,"['fast', 'institution', 'pull', 'factor', 'agree.', 'win', 'task', 'investment', 'safe', 'to.', 'experts', 'discuss', 'ongoing', 'developments', 'policy.']","(10000,[1562,2398,3243,3614,4506,4687,6521,6597,6944,7642,8451,9263,9413,9462,9561],[4.42484663185681,3.914021008090819,4.607168188650764,0.6832166123573445,0.691153161953081,0.6871770135734415,5.523458920524919,4.607168188650764,2.849310271098391,4.42484663185681,4.607168188650764,4.42484663185681,4.42484663185681,0.691153161953081,3.914021008090819])",1.0
R201,"['add', 'current', 'trade', 'sit', 'degree', 'special', 'lawyer.', 'consider', 'material', 'common', 'popular.', 'experts', 'discuss', 'ongoing', 'developments', 'public', 'health.']","(10000,[141,312,419,1055,1770,3231,3614,4506,4687,6219,6332,6946,7786,9189,9462,9887,9943],[5.523458920524919,4.830311739964974,4.830311739964974,3.914021008090819,3.0385522707369192,4.270695952029551,0.6832166123573445,0.691153161953081,0.6871770135734415,2.958509563063383,4.019381523748645,4.607168188650764,5.523458920524919,3.914021008090819,0.691153161953081,3.914021008090819,4.019381523748645])",1.0
R072,"['walk', 'behavior', 'camera', 'cost', 'see.', 'new', 'right', 'assume', 'campaign.', 'experts', 'discuss', 'ongoing', 'developments', 'education.']","(10000,[585,735,1650,1790,2664,3614,4490,4506,4687,5047,5856,6142,6975,9462],[4.019381523748645,4.137164559405029,4.019381523748645,4.137164559405029,4.019381523748645,0.6832166123573445,4.019381523748645,0.691153161953081,0.6871770135734415,2.7200985396183848,4.830311739964974,4.830311739964974,5.117993812416755,0.691153161953081])",1.0
R064,"['dark', 'statement', 'other.', 'right', 'lawyer', 'defense', 'tv', 'something', 'section.', 'place', 'laugh', 'policy', 'offer.', 'experts', 'discuss', 'ongoing', 'developments', 'research.']","(10000,[697,1133,1790,3331,3543,3614,4142,4506,4547,4687,6390,7066,7098,9021,9231,9462,9817,9826],[4.019381523748645,4.607168188650764,4.137164559405029,4.830311739964974,4.270695952029551,0.6832166123573445,3.8187108282864943,0.691153161953081,4.270695952029551,0.6871770135734415,4.019381523748645,2.8154087194227095,4.137164559405029,4.137164559405029,5.117993812416755,0.691153161953081,3.6516567436233283,3.577548771469606])",1.0
F037,"['bring', 'weight', 'help', 'impact', 'attorney', 'blue', 'could.', 'recognize', 'house', 'less', 'test', 'activity', 'lot', 'lot.', 'low', 'remember', 'half.', 'husband', 'industry', 'time.', '—', 'shocking', 'claims', 'miracle', 'drug', 'surface', 'internet.']","(10000,[503,1195,1256,1972,3010,3057,4062,4853,4943,5276,5685,5768,5836,5850,6586,7208,7281,7860,7876,7936,8004,8110,8171,8338,8411,8544,9347],[0.691153161953081,4.270695952029551,3.125563647726549,4.270695952029551,4.270695952029551,4.42484663185681,4.607168188650764,4.019381523748645,4.019381523748645,4.830311739964974,4.019381523748645,4.137164559405029,4.019381523748645,0.691153161953081,4.137164559405029,3.6516567436233283,0.6871770135734415,2.997730276216664,4.830311739964974,0.691153161953081,4.42484663185681,4.137164559405029,3.6516567436233283,0.691153161953081,3.3262343431887,4.830311739964974,4.830311739964974])",0.0
